City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,78.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
3,Padang,ID,77.0,scattered clouds,-0.9492,100.3543,Mercure Padang
5,Antofagasta,CL,62.6,broken clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
8,Boca Do Acre,BR,70.45,moderate rain,-8.7522,-67.3978,Hotel Sao Pedro
9,Buchanan,LR,78.8,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
12,Port Alfred,ZA,69.44,overcast clouds,-33.5906,26.891,The Halyards Hotel
13,Arraial Do Cabo,BR,76.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
16,Hualmay,PE,69.03,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
17,Rikitea,PF,79.03,clear sky,-23.1203,-134.9692,Pension Maro'i
28,Namibe,AO,78.84,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
36,Cape Town,ZA,64.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
39,Qinzhou,CN,72.34,light rain,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
41,Ribeira Grande,PT,62.2,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
43,Albany,US,73.4,broken clouds,42.6001,-73.9662,
45,Jamestown,US,71.6,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
47,Ikorodu,NG,75.2,few clouds,6.6191,3.5041,Ibisun Hotel & Suites
51,Sakaraha,MG,67.59,clear sky,-22.9,44.5333,Le Relais
52,Avanigadda,IN,77.86,clear sky,16.0215,80.9181,AP Camping
54,Upington,ZA,71.6,clear sky,-28.4478,21.2561,River Place Manor
56,Mataura,NZ,60.01,light rain,-46.1927,168.8643,Ellie's Villa
60,San Jose,US,73.0,broken clouds,37.3394,-121.895,The Westin San Jose
65,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
66,Quelimane,MZ,75.2,light rain,-17.8786,36.8883,Hotel Flamingo
70,Ahuimanu,US,78.8,few clouds,21.4447,-157.8378,Paradise Bay Resort
71,Pisco,PE,70.0,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
72,Airai,TL,67.68,overcast clouds,-8.9266,125.4092,Juvinal Martin
73,Naze,JP,68.0,few clouds,28.3667,129.4833,奄美ポートタワーホテル
74,Isangel,VU,79.81,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
75,Tura,IN,71.69,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
78,Oistins,BB,78.8,volcanic ash,13.0667,-59.5333,Butterfly Beach Hotel
81,Udayagiri,IN,68.77,clear sky,20.1333,84.3833,Balaram panda
84,Kutum,SD,70.05,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
87,Puerto Ayora,EC,78.8,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,Alghero,IT,60.8,broken clouds,40.5589,8.3181,Villa Las Tronas Hotel & Spa
93,Kailua,US,78.8,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
99,Victoria,HK,71.01,broken clouds,22.2855,114.1577,Mini Hotel Central
100,Sao Filipe,CV,75.69,few clouds,14.8961,-24.4956,Tortuga B&B
106,Mushie,CD,72.75,overcast clouds,-3.0167,16.9,
107,Sao Jose Da Coroa Grande,BR,77.77,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
112,Praia Da Vitoria,PT,61.0,mist,38.7333,-27.0667,Hotel Branco I
115,Chuy,UY,69.24,heavy intensity rain,-33.6971,-53.4616,Nuevo Hotel Plaza
118,Mulki,IN,77.0,few clouds,13.1,74.8,Karnire Camping Ground
119,Bluff,NZ,60.01,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
121,Taft,IR,75.2,scattered clouds,31.7471,54.2088,بوم گردی حاجی زینل تفت
122,Vila Franca Do Campo,PT,60.8,mist,37.7167,-25.4333,Pestana Bahia Praia
123,Carnarvon,AU,78.8,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
126,Santa Ana,US,77.0,broken clouds,33.7456,-117.8678,Santa Ana Travel Inn
127,Laurel,US,66.0,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
128,Inyonga,TZ,62.04,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
129,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
133,Puttur,IN,77.0,few clouds,12.7667,75.2167,Hotel Super Tower
140,General Roca,AR,60.8,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
149,Pangkalanbuun,ID,77.56,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
150,Nelson Bay,AU,64.99,broken clouds,-32.7167,152.15,Mantra Nelson Bay
152,Mahbubabad,IN,76.35,few clouds,17.6167,80.0167,Vedansh Residency
154,Castro,BR,60.71,clear sky,-24.7911,-50.0119,CHACARA BAILLY
156,Natal,BR,77.0,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
167,Cidreira,BR,75.11,overcast clouds,-30.1811,-50.2056,Hotel Castelo
168,Cavalcante,BR,69.76,few clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
173,Shelburne,CA,68.0,few clouds,44.0787,-80.2041,The Retreat at the Farm
176,Belmonte,BR,77.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
177,Gualeguay,AR,70.05,overcast clouds,-33.1416,-59.3097,Cabañas Nuestro Refugio
179,Sao Joao Da Barra,BR,74.25,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
180,Palmer,US,68.0,broken clouds,42.1584,-72.3287,Wedgewood Motel
181,Makakilo City,US,78.8,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
182,Mastung,PK,60.75,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
183,Dalbandin,PK,71.1,few clouds,28.8947,64.4101,Sanjrani House
184,Tigzirt,DZ,60.98,overcast clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
189,Gazojak,TM,61.38,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
191,Wahiawa,US,78.8,broken clouds,21.5028,-158.0236,Aloha Wahiawa
194,Bethel,US,66.2,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
199,Merced,US,78.01,few clouds,37.1666,-120.7516,
200,Mandali,IQ,72.54,scattered clouds,33.7499,45.5541,قرئ الشيخ سحاب الندا
201,Bukama,CD,66.72,overcast clouds,-9.2,25.85,
204,Mount Isa,AU,75.2,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
205,Geraldton,AU,73.4,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
206,North Platte,US,66.0,clear sky,41.1239,-100.7654,Holiday Inn Express & Suites North Platte
207,Georgetown,MY,79.0,few clouds,5.4112,100.3354,Cititel Penang
208,Buraydah,SA,73.4,scattered clouds,26.326,43.975,فندق راحة السلام
209,Okato,NZ,68.0,scattered clouds,-39.2,173.8833,Goodin Country Garden
212,Moyale,KE,67.06,light rain,3.5167,39.0584,La Tahzan Guest House
216,Santa Maria,BR,77.0,few clouds,-29.6842,-53.8069,Hotel Morotin
217,Brownfield,US,73.0,clear sky,33.1812,-102.2744,Holiday Inn Express & Suites Brownfield
220,Veraval,IN,77.74,clear sky,20.9,70.3667,Lords Inn Somnath
221,Loandjili,CG,78.8,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
222,Price,US,64.4,clear sky,39.5994,-110.8107,National 9 - Price River Inn
225,Ballina,AU,73.4,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
226,Vao,NC,77.0,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
231,Wajir,KE,78.67,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
232,Inirida,CO,71.76,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
234,Sibolga,ID,75.96,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
235,Sur,OM,79.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
236,Oriximina,BR,76.03,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
239,East London,ZA,69.69,broken clouds,-33.0153,27.9116,Tu Casa
242,Glendive,US,68.0,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
243,Flinders,AU,61.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
244,Broome,US,68.0,clear sky,42.2506,-75.833,Chenango Valley State Park
245,Maneadero,MX,66.0,scattered clouds,31.7167,-116.5667,Casa De Thompson
247,Caravelas,BR,74.17,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
250,Sinnamary,GF,77.65,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
253,Labuhan,ID,79.36,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
256,Altamira,BR,74.84,overcast clouds,-3.2033,-52.2064,Requinte Hotel
257,Mindelo,CV,69.8,few clouds,16.8901,-24.9804,Hotel Gaudi
262,San Ramon,US,75.2,clear sky,37.7799,-121.978,San Ramon Marriott
264,Tuatapere,NZ,60.01,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
268,Piacabucu,BR,77.5,broken clouds,-10.4056,-36.4344,Piaçabuçu News
271,Haimen,CN,64.4,clear sky,23.1935,116.6142,Jinghao Business Hotel
274,Sinazongwe,ZM,69.6,scattered clouds,-17.2614,27.4618,Lakeview Lodge
275,Betare Oya,CM,71.83,light rain,5.6,14.0833,Auberge Tembina Betaré Oya
276,Jacareacanga,BR,76.55,broken clouds,-6.2222,-57.7528,Casa do Ian😎
279,Payo,ID,74.48,broken clouds,-3.7508,103.6372,Mess keban agung
280,Peniche,PT,60.01,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
282,Bambous Virieux,MU,79.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
286,Pitimbu,BR,75.2,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
287,Bitung,ID,75.2,few clouds,1.4451,125.1824,K2 Lembeh
289,Rupert,US,64.4,clear sky,42.6191,-113.6772,Uptown Motel
291,Monrovia,LR,78.8,scattered clouds,6.3005,-10.7969,Sunset Inn
292,Totness,SR,78.01,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
293,Nioro,GM,77.81,clear sky,13.35,-15.75,
295,Los Llanos De Aridane,ES,64.4,few clouds,28.6585,-17.9182,Valle Aridane
296,Loanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
297,Kaeo,NZ,75.0,few clouds,-35.1,173.7833,Bushido Lodge
298,Marzuq,YE,66.42,clear sky,14.4,46.4667,
300,Santa Isabel Do Rio Negro,BR,76.95,overcast clouds,-0.4139,-65.0192,Hotel GSA
304,Kingaroy,AU,71.6,clear sky,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
307,Quatre Cocos,MU,79.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
309,Santa Cruz,BO,77.0,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
310,Morros,BR,75.97,overcast clouds,-9.4467,-46.3003,
312,Taltal,CL,65.5,broken clouds,-25.4,-70.4833,Residencial Karime
313,Bengkulu,ID,75.7,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
315,Kieta,PG,77.92,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
317,Cartagena,CO,79.61,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
321,Waterloo,CA,62.01,broken clouds,43.4668,-80.5164,Comfort Inn
322,Hennenman,ZA,63.86,clear sky,-27.9765,27.0242,Die ou Wingerdstok Hennenman
324,Saldanha,ZA,60.8,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
326,Valparaiso,CL,60.8,clear sky,-33.0393,-71.6273,Hotel Ultramar
327,Maceio,BR,71.6,broken clouds,-9.6658,-35.7353,Poutur Pousada
328,Plettenberg Bay,ZA,62.4,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
332,Masumbwe,TZ,61.84,overcast clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
334,Mar Del Plata,AR,66.99,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
335,Yulara,AU,64.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
337,Opunake,NZ,68.0,scattered clouds,-39.4556,173.8583,Walton Cottage
343,Port Elizabeth,ZA,62.6,broken clouds,-33.918,25.5701,39 On Nile Guest House
345,Asfi,MA,60.55,clear sky,32.2994,-9.2372,Hôtel Abda
349,Nha Trang,VN,75.2,scattered clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
360,Itoman,JP,73.4,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
362,Biak,ID,79.45,overcast clouds,-0.9131,122.8766,Penginapan Kim
365,Trairi,BR,78.82,scattered clouds,-3.2778,-39.2689,janelas do mar
366,Guerrero Negro,MX,64.24,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
367,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
368,Dwarka,IN,78.42,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
370,Eldorado,BR,71.87,clear sky,-23.7869,-54.2836,Villa Verde Hotel
371,Vila Velha,BR,77.0,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
372,Chimbote,PE,68.99,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
376,Nouadhibou,MR,68.0,broken clouds,20.930999999999997,-17.0347,El Medina
378,Tshane,BW,69.46,clear sky,-24.0196,21.8684,
380,Cururupu,BR,75.09,broken clouds,-1.8283,-44.8683,Pousada Través'cia
381,Kanigiri,IN,75.47,clear sky,15.4,79.5167,Khasim kollafaram center
382,Bubaque,GW,77.11,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
383,Miandrivazo,MG,76.24,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
389,Marawi,PH,73.29,overcast clouds,7.9986,124.2928,Derogongan Residence
391,Benjamin Constant,BR,74.64,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
392,Mhango,TZ,60.19,overcast clouds,-3.2833,32.85,
393,Kaitangata,NZ,64.0,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
397,Faya,SA,62.6,few clouds,18.3851,42.4509,مقبرة ال مجمل
398,Surandai,IN,77.76,clear sky,8.9667,77.4,Hotel Priya
402,Dunedin,NZ,65.05,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
404,Westport,US,61.0,clear sky,41.1415,-73.3579,The Westport Inn
405,The Valley,AI,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
406,Kwinana,AU,63.0,light rain,-32.25,115.7667,Rockingham Apartments
419,Kalmunai,LK,77.68,broken clouds,7.4167,81.8167,VS Villa
425,Kawalu,ID,75.02,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
426,Buzmeyin,TM,62.6,clear sky,38.0507,58.2056,
427,Las Palmas,ES,64.4,clear sky,28.4204,-14.0131,Casillas De Morales 59.
428,Roma,US,75.2,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
429,Guanare,VE,79.81,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
430,Mitchell,US,60.8,clear sky,43.7094,-98.0298,Kelly Inn & Suites
433,Srandakan,ID,79.66,overcast clouds,-7.9386,110.2506,Puri Brata
435,Kainantu,PG,67.42,overcast clouds,-6.2887,145.8655,Sylvester buku
436,Ilhabela,BR,72.9,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
437,Atambua,ID,77.38,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
438,Samana,DO,75.2,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
439,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
442,Touros,BR,77.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
445,Ngunguru,NZ,75.0,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
448,Urubicha,BO,72.27,overcast clouds,-15.3833,-62.95,
453,Maniwaki,CA,71.6,overcast clouds,46.3834,-75.96600000000001,Centre Chateau Logue
454,Bay Saint Louis,US,73.4,scattered clouds,30.3088,-89.33,The Abode Guest House
458,Rawlins,US,60.8,clear sky,41.7911,-107.2387,Holiday Inn Express Rawlins
461,Canon City,US,70.0,clear sky,38.441,-105.2424,Travel Inn Motel
462,Humaita,BR,74.64,broken clouds,-7.5061,-63.0208,Corrêa Hotel
465,Kupang,ID,79.7,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
470,Venice,US,66.2,moderate rain,27.0998,-82.4543,A Beach Retreat On Casey Key
471,Salinas,US,62.6,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
474,San Diego De Los Banos,CU,78.55,broken clouds,22.6467,-83.3697,Casa Nalúa - Nalúa Enea
475,Saint-Andre-Avellin,CA,75.2,broken clouds,45.7168,-75.066,Auberge Petite-Nation
480,Tabou,CI,79.93,overcast clouds,4.423,-7.3528,hotêl doufoulougou
481,Nacala,MZ,72.93,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
482,Tezu,IN,65.66,broken clouds,27.9167,96.1667,Circuit House
484,Havelock,US,70.0,broken clouds,34.8791,-76.9013,Sherwood Motel
487,Autazes,BR,74.57,heavy intensity rain,-3.5797,-59.1306,Apart hotel Tupinambá
490,Pinheiro Machado,BR,72.0,light rain,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
491,Ambilobe,MG,72.14,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
492,Meulaboh,ID,77.2,broken clouds,4.1363,96.1285,Kost Pria
495,Iberia,US,78.01,broken clouds,29.9502,-91.7507,back to back rv park
504,Port Macquarie,AU,70.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
514,Diego De Almagro,CL,62.82,broken clouds,-26.3667,-70.05,hotel luna del desierto
515,Pontes E Lacerda,BR,72.7,broken clouds,-15.2261,-59.3353,Hotel Bressan
520,Tutoia,BR,78.89,overcast clouds,-2.7619,-42.2744,Pousada Guará's
521,Jinji,CN,69.84,overcast clouds,23.2281,110.8261,
522,Bodh Gaya,IN,71.6,haze,24.7,84.9833,Hotel Tokyo Vihar
525,Pontianak,ID,75.2,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
526,Antalaha,MG,73.27,light rain,-14.9003,50.2788,Hotel Vitasoa
527,Conakry,GN,79.27,few clouds,9.538,-13.6773,Riviera Royal Hotel
529,Carauari,BR,74.75,overcast clouds,-4.8828,-66.8958,Hotel Fellip
532,Waddan,LY,61.52,broken clouds,29.1614,16.139,محل الشريف محمد العايب
533,Mayo,US,64.4,clear sky,38.8876,-76.5119,Resorts Resource Group International
536,Coromandel,BR,62.58,clear sky,-18.4733,-47.2003,Hotel Dona Adélia
539,San Quintin,MX,63.01,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
540,Musoma,TZ,66.24,light rain,-1.5,33.8,New Peninsula Hotel
541,Laje,BR,72.43,overcast clouds,-10.1833,-40.9667,Pousada Centro
543,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
545,Capitao Poco,BR,73.56,overcast clouds,-1.7464,-47.0594,Hotel New Tokyo
548,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
549,Hervey Bay,AU,78.8,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
550,Mersing,MY,75.2,few clouds,2.4312,103.8405,Timotel Hotel
559,Ceres,US,75.99,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
560,Rawson,AR,62.74,clear sky,-43.3002,-65.1023,Hosteria Sampedro
563,Huarmey,PE,70.2,broken clouds,-10.0681,-78.1522,Hotel Miramar
564,Bandarbeyla,SO,77.77,clear sky,9.4942,50.8122,JABIR HOTEL
566,Serro,BR,60.39,few clouds,-18.6047,-43.3794,Pousada Mariana
567,Camacha,PT,64.4,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
569,Baringo,KE,71.4,overcast clouds,0.4667,35.9667,Country Legend Resort
572,Nouakchott,MR,73.4,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
573,Cayenne,GF,75.2,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
575,Port Lincoln,AU,60.1,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
580,Ahipara,NZ,73.15,clear sky,-35.1667,173.1667,Ahipara Holiday Park
581,Mandurah,AU,60.01,light rain,-32.55,115.7,Atrium Hotel Mandurah
582,Sulphur Springs,US,68.0,clear sky,33.1385,-95.6011,Clarion Pointe Sulphur Springs
584,Moerai,PF,78.57,light rain,-22.4333,-151.3333,Le Manotel
585,Adet,ET,63.28,broken clouds,11.2644,37.4888,Shama Hotel
586,Jiangdu,CN,60.01,broken clouds,32.4286,119.5574,Super 8 Hotel （Jiangdu Xiancheng Branch） Parking Lot
588,Pueblo,US,71.6,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
597,Mutis,CO,78.67,light rain,6.2262,-77.4044,Paraiso Escondido
598,Semnan,IR,69.21,overcast clouds,35.5729,53.3971,Semnan Tourist Hotel
606,Bosaso,SO,78.44,clear sky,11.2842,49.1816,Red Sea Hotel
609,Miyang,CN,60.19,broken clouds,24.4042,103.4428,Huibinlou Hotel
611,Lingao,CN,74.86,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
616,Miraflores,MX,78.8,scattered clouds,19.2167,-98.8083,Hotel Mansión
622,Muriti,TZ,69.6,light rain,-1.9833,32.9167,
623,Bantou,CN,65.86,overcast clouds,26.2151,117.4893,
624,Cockburn Town,TC,75.2,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
625,Dawlatabad,AF,62.44,scattered clouds,36.4141,64.9053,WASIM ASGAR KHAN
626,Lilongwe,MW,60.67,overcast clouds,-13.9669,33.7873,Spendwise furnished apartments.
628,Villazon,BO,60.17,scattered clouds,-22.0866,-65.5942,La Candelaria
629,Vila Do Maio,CV,73.4,clear sky,15.1333,-23.2167,Residence 'I Delfini'
632,Tocopilla,CL,68.85,scattered clouds,-22.092,-70.1979,Hotel Galvarino
635,Sorong,ID,79.3,overcast clouds,-0.8833,131.25,waigo splash hotel
640,Sibu,MY,73.4,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
642,Barma,SL,75.99,overcast clouds,8.35,-11.3333,
645,Hatillo,PR,77.0,overcast clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
649,Masindi,UG,63.97,overcast clouds,1.6744,31.715,New Court View Hotel
655,Waitati,NZ,68.63,scattered clouds,-45.75,170.5667,Arden Country House BnB Dunedin
657,Iroquois Falls,CA,60.8,broken clouds,48.7669,-80.6831,Auberge MacDonald Guest Inn
659,Hambantota,LK,77.88,clear sky,6.1241,81.1185,Bungalow 63
662,Nampula,MZ,73.4,scattered clouds,-15.1165,39.2666,BUTIK Hotel
665,Aswan,EG,61.86,clear sky,24.0934,32.907,Nuba Nile
666,Rafsanjan,IR,66.38,broken clouds,30.4067,55.9939,Rafsanjan Tourism Hotel
672,Kifri,IQ,64.92,broken clouds,34.6959,44.9661,میزان کفری
678,Moron,AR,71.01,light rain,-34.6534,-58.6198,Hotel Morón
682,Lagunas,PE,74.82,broken clouds,-5.2269,-75.6753,Hospedaje Eco
685,Iguape,BR,72.77,clear sky,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
686,Grand-Lahou,CI,79.9,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
688,Borba,BR,74.53,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
689,Alta Floresta,BR,73.42,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
694,Umm Kaddadah,SD,74.97,few clouds,13.6017,26.6876,
696,Huntsville,US,71.6,overcast clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
700,Uyovu,TZ,61.0,overcast clouds,-3.2833,31.5258,
702,Tamandare,BR,77.61,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
703,Nagua,DO,75.2,scattered clouds,19.3832,-69.8474,Hotel Cambri
